Country,Building_Type,Year_Start,Year_End,U_Wall_Cur,U_Roof_Cur,U_Window_Cur,Energy_Cur_kWh,Energy_Std_kWh,Energy_Adv_kWh,Primary_Cur_kWh,Primary_Std_kWh,Primary_Adv_kWh,CO2_Cur_kg,CO2_Std_kg,CO2_Adv_kg,Source
Austria,SFH,1900,1918,1.8,1.7,2.2,240,110,50,288,132,60,60.0,27.5,12.5,TABULA_AT_Rep_D6.9
Austria,SFH,1919,1944,1.8,1.7,2.3,285,120,50,342,144,60,71.3,30.0,12.5,TABULA_AT_Rep_D6.9
Austria,SFH,1945,1960,1.6,1.7,2.3,270,115,50,324,138,60,67.5,28.8,12.5,TABULA_AT_Rep_D6.9
Austria,SFH,1961,1980,1.4,0.8,2.7,212,100,50,254,120,60,53.0,25.0,12.5,TABULA_AT_Rep_D6.9
Austria,SFH,1981,1990,0.7,0.5,2.5,145,85,50,174,102,60,36.3,21.3,12.5,TABULA_AT_Rep_D6.9
Austria,SFH,1991,2000,0.4,0.3,1.8,105,70,50,126,84,60,26.3,17.5,12.5,TABULA_AT_Rep_D6.9
Austria,SFH,2001,2010,0.35,0.2,1.4,55,45,40,66,54,48,13.8,11.3,10.0,TABULA_AT_Rep_D6.9
Austria,TH,1900,1918,1.8,1.7,2.2,240,105,50,288,126,60,60.0,26.3,12.5,TABULA_AT_Rep_D6.9
Austria,TH,1919,1944,1.8,1.7,2.3,285,115,50,342,138,60,71.3,28.8,12.5,TABULA_AT_Rep_D6.9
Austria,TH,1945,1960,1.6,1.7,2.3,270,110,50,324,132,60,67.5,27.5,12.5,TABULA_AT_Rep_D6.9
Austria,TH,1961,1980,1.4,0.8,2.7,212,95,50,254,114,60,53.0,23.8,12.5,TABULA_AT_Rep_D6.9
Austria,TH,1981,1990,0.7,0.5,2.5,145,80,50,174,96,60,36.3,20.0,12.5,TABULA_AT_Rep_D6.9
Austria,TH,1991,2000,0.4,0.3,1.8,105,65,50,126,78,60,26.3,16.3,12.5,TABULA_AT_Rep_D6.9
Austria,TH,2001,2010,0.35,0.2,1.4,55,40,40,66,48,48,13.8,10.0,10.0,TABULA_AT_Rep_D6.9
Austria,MFH,1900,1918,1.4,1.7,2.2,180,95,45,216,114,54,45.0,23.8,11.3,TABULA_AT_Rep_D6.9
Austria,MFH,1919,1944,1.4,1.7,2.3,205,100,45,246,120,54,51.3,25.0,11.3,TABULA_AT_Rep_D6.9
Austria,MFH,1945,1960,1.3,1.7,2.3,210,105,45,252,126,54,52.5,26.3,11.3,TABULA_AT_Rep_D6.9
Austria,MFH,1961,1980,1.1,0.8,2.7,152,85,45,182,102,54,38.0,21.3,11.3,TABULA_AT_Rep_D6.9
Austria,MFH,1981,1990,0.6,0.5,2.5,110,70,45,132,84,54,27.5,17.5,11.3,TABULA_AT_Rep_D6.9
Austria,MFH,1991,2000,0.4,0.3,1.8,80,55,45,96,66,54,20.0,13.8,11.3,TABULA_AT_Rep_D6.9
Austria,MFH,2001,2010,0.35,0.2,1.4,45,35,35,54,42,42,11.3,8.8,8.8,TABULA_AT_Rep_D6.9
Austria,AB,1900,1918,1.4,1.7,2.2,180,90,30,216,108,36,45.0,22.5,7.5,TABULA_AT_Rep_D6.9
Austria,AB,1919,1944,1.4,1.7,2.3,205,95,30,246,114,36,51.3,23.8,7.5,TABULA_AT_Rep_D6.9
Austria,AB,1945,1960,1.3,1.7,2.3,205,95,30,246,114,36,51.3,23.8,7.5,TABULA_AT_Rep_D6.9
Austria,AB,1961,1980,1.1,0.8,2.7,152,80,30,182,96,36,38.0,20.0,7.5,TABULA_AT_Rep_D6.9
Austria,AB,1981,1990,0.6,0.5,2.5,110,65,30,132,78,36,27.5,16.3,7.5,TABULA_AT_Rep_D6.9
Austria,AB,1991,2000,0.4,0.3,1.8,80,50,30,96,60,36,20.0,12.5,7.5,TABULA_AT_Rep_D6.9
Austria,AB,2001,2010,0.35,0.2,1.4,45,30,30,54,36,36,11.3,7.5,7.5,TABULA_AT_Rep_D6.9